,ticker,date,time,title,compound
285,META,May-10-23,02:47PM,Jeff Bezos Wanted Amazon To Be Named Cadabra  Little-Known Facts About Amazon's Early Days,0.1779
286,META,May-10-23,12:20PM,Earnings Estimates Moving Higher for Amazon (AMZN): Time to Buy?,0.1779
287,META,May-10-23,12:06PM,Is This the Turning Point for Rivian Stock?,0.0
288,META,May-10-23,12:05PM,Wealthy Americans are getting hit hardest by the economy slowing down,0.3612
289,META,May-10-23,11:50AM,Rivian And Worksport Continue Pursuing Their Ambitious Goals While Nikola Retracts,0.4767
290,META,May-10-23,11:37AM,Top 15 Wholesale Suppliers for Resellers in the US,0.2023
291,META,May-10-23,10:45AM,"As Shopify Drops Its Logistics Business, Amazon Could Be Poised to Strike",0.296
292,META,May-10-23,10:00AM,Rivian Earnings: 8 Key Metrics Investors Should See,0.0
293,META,May-10-23,09:43AM,Stocks trade higher at the open as investors digest April CPI data,0.0
294,META,May-10-23,09:00AM,Paramount didn't follow Warren Buffett's advice: Morning Brief,0.0
295,META,May-10-23,07:42AM,"Zacks Investment Ideas feature highlights: Apple, Amazon, Nvidia, Elf Beauty and Salesforce",0.6705
296,META,May-10-23,07:29AM,Q1 2023 Clean Energy Fuels Corp Earnings Call,0.5859
297,META,May-10-23,06:58AM,Is Amazon's AI-Powered Supply Chain the Secret to Its Dominance?,0.2023
298,META,May-10-23,05:53AM,Heres Why Amazon.com (AMZN) Rose in Q1,0.0
299,META,May-10-23,05:05AM,"Why AI Is the Next Big Thing in Investing, and How to Get in Early With These Stocks",0.0
300,AMZN,May-15-23,08:10PM,Amazon Makes Major Change That Will Shake Up Shopping,0.0
301,AMZN,May-15-23,07:00PM,Amazon planning conversational AI chatbot for website search,0.1779
302,AMZN,May-15-23,05:37PM,"Stocks moving in after-hours: Berkshire Hathaway, Capital One, Beam, Tesla",0.0
303,AMZN,May-15-23,04:48PM,Amazon Wants to Train Its Customers to Do Something Different,0.1779
304,AMZN,May-15-23,03:59PM,OpenAI CEO Sam Altman set to testify before Congress Tuesday,0.0
305,AMZN,May-15-23,01:18PM,Amazon Plans to Add ChatGPT-Style Search to Its Online Store,0.1779
306,AMZN,May-15-23,12:35PM,5 Great College Graduation Gifts to Buy on Amazon,0.7003
307,AMZN,May-15-23,12:23PM,Amazon Move Hints at a Major Delivery Change,0.1779
308,AMZN,May-15-23,11:37AM,20 Most Successful Shark Tank Products Ever In 2023,0.624
